章	节	题目ID	problemId	uuid	题目名称	难度	额外依赖知识点	大章依赖知识点																				
第一个程序：基础输出	基础输出	2370904	233577	6dd1bc8539db4b7199f4972a5dc14bd2	Hello Nowcoder	1	无	无																				
		1254547	216117	85ef91cfe5a6417ba0e9ba6908ef1868	字符串输出1.0	1	无																					
		274324	20750	5cd9598f28f74521805d2069ce4a108a	小飞机	3	无																					
基本类型与输入	整数	308923	21985	df9ee533ef9544bfa382203c812d9b55	牛牛学说话之-整数	2	无	第一个程序：基础输出																				
		2367009	233270	6f3e10bcf63240a6b7bde95a22cb4cc4	牛牛的第二个整数	2	无																					
		274657	20758	eb49750ef0de47168c21761de086d97c	成绩输入输出	3	无																					
		275322	20866	95eb723a3e854376a7eb6d116cc7d875	按照格式输入并交换输出	3	无																					
	浮点数	308924	21986	7c3bf58fac1a4eb69fa32c2d2c379bac	牛牛学说话之-浮点数	2	无																					
	单个字符	2367339	233292	dc6d23c03cb644a7b5bb60925f4a2521	牛牛学说话之-字符	2	无																					
		2367251	233281	11a5040fa894430f9d25fda1be37ddc8	牛牛的字符菱形	3	无																					
		2367010	233271	2dbf0151eb71402e968a2a8e59092568	牛牛的字符矩形	3	无																					
	混合输入	2367246	233278	b2203c4a5c304536a7f577bc885de511	牛牛的空格分隔	5	浮点数四舍五入																					
		274662	20760	58b6a69b4bf943b49d2cd3c15770b9fd	学生基本信息输入输出	5	格式化输入；浮点数位数控制																					
算术运算	加减法	308925	21987	07fde707001048db8342a4be16c7d4b0	牛牛学加法	2	无	第一个程序：基础输出
基本类型与输入																				
		2367495	233303	fb9daba67b88437a9e501adf020d425e	牛牛的等差数列	4	无																					
	乘法	2367255	233282	0ad8f1c0d7b84c6d8c560298f91d5e66	牛牛买电影票	2	无																					
		292280	21457	e1d1bd99fee34b66ae3c777b74d555c8	你能活多少秒	3	无																					
		2367414	233300	c196c47c23394bf3bdd4f82a838df6bf	牛牛的水杯	4	无																					
		2367298	233287	75a202e826d048a39824ec694b5ce7e3	牛牛的圆	4	无																					
		308987	21999	3d0bd5e060154211bddc1ee892714df0	牛牛学立体	4	加减法																					
	除法与取余	308926	21988	87d9a743deec433cb307ccfa43a763f7	牛牛学除法	2	无																					
		308955	21992	e21bfa080e0c449ca7a5a8c2caccfc6e	浮点除法	3	浮点数位数控制																					
